tests	test1	test2	test3	test4	test5	TE1	TE2
4.6	5.75	2.75	4.5	4	3	3.7	3.8
4.9	4.5	5.25	2.75	5	3.75	4.8	3.1
4.9	6	3.25	5.75	3.5	0	4.0	3.5
5.0	5.75	2.75	3.5	5	5	4.5	3.7
4.9	4.5	4.75	5	4.25	1.75	3.9	4.4
5.0	5.25	4.25	6	3.5	3.5	5.2	3.0
5.9	5.75	5.25	5.75	6	6	5.3	5.4
2.0	2.25	0	2.5	0	0	3.2	1.0
4.9	6	4	4.25	4.5	3.25	4.6	3.9
5.4	6	4.25	5.5	5.5	3.5	5.8	5.5
4.8	5.5	3.75	4	5	3.5	4.8	3.7
5.1	6	4.5	4.75	4.5	3.75	5.7	3.8
4.8	5.5	2.25	3.25	4.25	5	4.4	3.5
4.8	6	3	5.75	3.25	2.75	5.0	4.9
4.8	5.75	0	6	3.25	3.25	3.0	3.7
5.5	6	4	4.5	5	6	5.2	4.7
5.1	4.5	2.75	5	4.5	5.5	4.2	4.8
5.3	5.5	3	5	4.75	5.5	4.2	4.1
5.4	6	5	4.75	5.25	4.75	4.3	4.5
5.2	5.75	3	5.25	5.75	3.5	5.1	5.0
5.0	5.75	4	4.75	4	4.75	3.2	4.5
4.1	4.25	3	3.5	4	3	3.7	2.8
4.7	5.5	2	4.25	4.25	3.75	4.4	3.8
5.3	6	2.5	5.25	5	4.25	5.0	3.8
4.6	5.5	3	3	5.75	2.25	5.0	3.6
4.6	2.75	3	5	4.25	5.25	4.9	3.4
5.0	6	2.25	4.5	5.25	3.25	5.1	3.9
5.7	5.5	5.25	6	5.75	5.5	5.4	6.0
4.3	4.5	3.25	4.5	3	3.75	3.5	2.2
